food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q490367,Q490367,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q508630,Q508630,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q508630,Q508630,http://www.wikidata.org/entity/Q3406628,lök
http://www.wikidata.org/entity/Q511249,Vigna aconitifolia,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q517283,Pachyrhizus erosus,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q625399,Arracacia xanthorrhiza,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q645199,Q645199,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q645199,Q645199,http://www.wikidata.org/entity/Q165308,pumpa
http://www.wikidata.org/entity/Q654236,Matsvamp,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q654236,Matsvamp,http://www.wikidata.org/entity/Q83093,fruktkropp
http://www.wikidata.org/entity/Q654236,Matsvamp,http://www.wikidata.org/entity/Q14515951,Q14515951
http://www.wikidata.org/entity/Q670887,Bambu,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q670887,Bambu,http://www.wikidata.org/entity/Q9323487,ätbar växt
http://www.wikidata.org/entity/Q670887,Bambu,http://www.wikidata.org/entity/Q11992872,Q11992872
http://www.wikidata.org/entity/Q767765,Radicchiosallad,http://www.wikidata.org/entity/Q9266,sallad
http://www.wikidata.org/entity/Q767765,Radicchiosallad,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q767765,Radicchiosallad,http://www.wikidata.org/entity/Q20134,Bladgrönsaker
http://www.wikidata.org/entity/Q774278,Salladslök,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q812274,Q812274,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q821353,Q821353,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q876892,Q876892,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q882723,Q882723,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q887236,Q887236,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q941639,Äkta haverrot,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q947251,Sesbania grandiflora,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q978399,soltorkade tomater,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1051196,Q1051196,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1057052,Grodd,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1057052,Grodd,http://www.wikidata.org/entity/Q220869,Q220869
http://www.wikidata.org/entity/Q1063115,Q1063115,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1136311,Strandsiljor,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1170613,Q1170613,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1268494,Q1268494,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1274724,Pachyrhizus tuberosus,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1345772,Ängshaverrot,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1349024,Macrotyloma geocarpum,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q1355893,Oca,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2142043,Q2142043,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2171841,Q2171841,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2213924,Q2213924,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2229726,Q2229726,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2248185,Q2248185,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2253712,Q2253712,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2368164,Q2368164,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2368164,Q2368164,http://www.wikidata.org/entity/Q42527,krydda
http://www.wikidata.org/entity/Q2441143,Tomatis,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2585022,Q2585022,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2735883,Gurka,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2934610,Calçot,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2964630,Q2964630,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2964630,Q2964630,http://www.wikidata.org/entity/Q20136,rotfrukter
http://www.wikidata.org/entity/Q2964630,Q2964630,http://www.wikidata.org/entity/Q27494305,Q27494305
http://www.wikidata.org/entity/Q2964630,Q2964630,http://www.wikidata.org/entity/Q27494555,Q27494555
http://www.wikidata.org/entity/Q2987371,Haricots verts,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q2987371,Haricots verts,http://www.wikidata.org/entity/Q145909,ärtväxter
http://www.wikidata.org/entity/Q3116402,Q3116402,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q3270297,Q3270297,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q3406628,lök,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q3406628,lök,http://www.wikidata.org/entity/Q188748,lök
http://www.wikidata.org/entity/Q3406628,lök,http://www.wikidata.org/entity/Q735160,drog
http://www.wikidata.org/entity/Q3406628,lök,http://www.wikidata.org/entity/Q95997873,Q95997873
http://www.wikidata.org/entity/Q3531003,Q3531003,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q3531003,Q3531003,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q3546960,Q3546960,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q4684611,Q4684611,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q4684611,Q4684611,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q4957269,Q4957269,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q4957269,Q4957269,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q5032643,Q5032643,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q5032643,Q5032643,http://www.wikidata.org/entity/Q18396746,Q18396746
http://www.wikidata.org/entity/Q5032643,Q5032643,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q5057668,Q5057668,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q5057668,Q5057668,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q5189799,Korsblommiga växter,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q5339237,Squash,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q5506327,Q5506327,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q5506327,Q5506327,http://www.wikidata.org/entity/Q751728,Djupfrysning
http://www.wikidata.org/entity/Q5522419,Q5522419,http://www.wikidata.org/entity/Q1364,frukt
http://www.wikidata.org/entity/Q5522419,Q5522419,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q5522419,Q5522419,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q5597009,Q5597009,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q5597009,Q5597009,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q5881191,melon,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q5881191,melon,http://www.wikidata.org/entity/Q3173962,Q3173962
http://www.wikidata.org/entity/Q5881191,melon,http://www.wikidata.org/entity/Q3314483,frukt
http://www.wikidata.org/entity/Q6301802,Q6301802,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q6301802,Q6301802,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q6548069,Q6548069,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q6548069,Q6548069,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q6585129,Kranskrage,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q6945359,Q6945359,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7167863,Q7167863,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7190909,Q7190909,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7190909,Q7190909,http://www.wikidata.org/entity/Q622440,antipasto
http://www.wikidata.org/entity/Q7190909,Q7190909,http://www.wikidata.org/entity/Q1503967,pickels
http://www.wikidata.org/entity/Q7190909,Q7190909,http://www.wikidata.org/entity/Q3687258,Q3687258
http://www.wikidata.org/entity/Q7223635,Q7223635,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7225623,Spetskål,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7225623,Spetskål,http://www.wikidata.org/entity/Q35051,vitkål
http://www.wikidata.org/entity/Q7226350,Q7226350,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7226735,Q7226735,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7226735,Q7226735,http://www.wikidata.org/entity/Q20136,rotfrukter
http://www.wikidata.org/entity/Q7229221,Q7229221,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7305343,Q7305343,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7420598,Q7420598,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7420598,Q7420598,http://www.wikidata.org/entity/Q6540634,Körsbärstomat
http://www.wikidata.org/entity/Q7797809,Q7797809,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7797809,Q7797809,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q7818195,Q7818195,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7818195,Q7818195,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q7836057,Q7836057,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7836057,Q7836057,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q7995241,Q7995241,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7995241,Q7995241,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q8047551,Jams,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q9282304,Q9282304,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q9282304,Q9282304,http://www.wikidata.org/entity/Q1503784,Saltning
http://www.wikidata.org/entity/Q9282304,Q9282304,http://www.wikidata.org/entity/Q100285595,Q100285595
http://www.wikidata.org/entity/Q10973014,Q10973014,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q11261547,Q11261547,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q11261547,Q11261547,http://www.wikidata.org/entity/Q2561624,Laminariaceae
http://www.wikidata.org/entity/Q11263607,Q11263607,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q11356390,Q11356390,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q11356390,Q11356390,http://www.wikidata.org/entity/Q20136,rotfrukter
http://www.wikidata.org/entity/Q11375740,Q11375740,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q11449960,Q11449960,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q11449960,Q11449960,http://www.wikidata.org/entity/Q20136,rotfrukter
http://www.wikidata.org/entity/Q11608081,Q11608081,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q11608081,Q11608081,http://www.wikidata.org/entity/Q20136,rotfrukter
http://www.wikidata.org/entity/Q11618239,Q11618239,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q12047207,Q12047207,http://www.wikidata.org/entity/Q1364,frukt
http://www.wikidata.org/entity/Q12047207,Q12047207,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q12338154,Q12338154,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q12338154,Q12338154,http://www.wikidata.org/entity/Q1503967,pickels
http://www.wikidata.org/entity/Q12338154,Q12338154,http://www.wikidata.org/entity/Q3687258,Q3687258
http://www.wikidata.org/entity/Q12533094,Q12533094,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q12893157,Q12893157,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q13360268,Kinakål,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q13360268,Kinakål,http://www.wikidata.org/entity/Q14328596,Q14328596
http://www.wikidata.org/entity/Q14328596,Q14328596,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q14504031,Q14504031,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q14504031,Q14504031,http://www.wikidata.org/entity/Q5881191,melon
http://www.wikidata.org/entity/Q16587531,potatis,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q16587531,potatis,http://www.wikidata.org/entity/Q183319,stamknöl
http://www.wikidata.org/entity/Q16587531,potatis,http://www.wikidata.org/entity/Q736427,stapelföda
http://www.wikidata.org/entity/Q16860994,Q16860994,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q16860994,Q16860994,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q16860995,Q16860995,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q16860995,Q16860995,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q16861017,Q16861017,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q16861017,Q16861017,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q17223059,Q17223059,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q18968514,Q18968514,http://www.wikidata.org/entity/Q3384,Brassica rapa
http://www.wikidata.org/entity/Q18968514,Q18968514,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q18968514,Q18968514,http://www.wikidata.org/entity/Q20134,Bladgrönsaker
http://www.wikidata.org/entity/Q20638126,tomat,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q20638126,tomat,http://www.wikidata.org/entity/Q13184,bär
http://www.wikidata.org/entity/Q20638126,tomat,http://www.wikidata.org/entity/Q1470762,Q1470762
http://www.wikidata.org/entity/Q20638126,tomat,http://www.wikidata.org/entity/Q3314483,frukt
