food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q2905033,Q2905033,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q2905055,Q2905055,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q2905058,Q2905058,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q2905061,Q2905061,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q2906025,Q2906025,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q2922667,Q2922667,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q2924023,Q2924023,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q2943094,Q2943094,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3042275,Sahti,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3057388,Q3057388,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3445434,Q3445434,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3483769,Q3483769,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3510707,Q3510707,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3625680,Q3625680,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3640378,Q3640378,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3655589,Q3655589,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3655862,Q3655862,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3655869,Q3655869,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3655894,öl i Sverige,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3655936,Q3655936,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3925834,Q3925834,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q3970537,Q3970537,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4037339,Q4037339,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4044912,Q4044912,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4300034,Q4300034,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4305707,Q4305707,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4307109,Q4307109,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4356814,Q4356814,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4362387,Q4362387,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4488344,Q4488344,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4489021,Q4489021,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4496335,Q4496335,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4549732,Q4549732,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4550225,Q4550225,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4570769,Pacifico Clara,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4658346,Q4658346,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4741746,Q4741746,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4795455,Q4795455,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4879989,Q4879989,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4880013,Q4880013,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4880014,Q4880014,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4880019,Q4880019,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4880027,Q4880027,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4912182,Billy Beer,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4967500,Q4967500,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5065323,Q5065323,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5080415,Q5080415,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5122411,Q5122411,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5171042,Majsöl,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5183358,Q5183358,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5329931,Q5329931,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5400907,Q5400907,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5507019,Q5507019,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5507019,Q5507019,http://www.wikidata.org/entity/Q261105,Q261105,,,,
http://www.wikidata.org/entity/Q5731246,Q5731246,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5763604,Q5763604,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5763615,Q5763615,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5763631,Q5763631,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5763637,Q5763637,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q5990797,Q5990797,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q6081561,Q6081561,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q6131543,Q6131543,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q6144959,Q6144959,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q6450357,Q6450357,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q7199017,Piton,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q7431880,Q7431880,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q7587890,Q7587890,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q8248915,Q8248915,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q8248915,Q8248915,http://www.wikidata.org/entity/Q40050,dryck,,,,
http://www.wikidata.org/entity/Q8344306,Q8344306,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q8344315,Q8344315,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q8401949,Q8401949,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q9340155,Q9340155,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q9696426,Q9696426,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10262008,Q10262008,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10313616,Q10313616,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10314719,Q10314719,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10317863,Q10317863,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10340754,Q10340754,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10350781,Q10350781,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10355535,Q10355535,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10382024,Q10382024,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10497514,folköl,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10507704,Gotlandsdricka,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q10581232,mellanöl,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q11709715,Q11709715,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q11750796,Q11750796,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q11994509,Överjäst öl,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q12008405,Q12008405,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q12009657,Cerveza Victoria,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q12012465,Q12012465,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q12013204,Q12013204,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q12033599,Q12033599,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q12058313,Q12058313,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q12334995,Q12334995,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q12794668,Laško pivo,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13100774,Q13100774,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13209145,Q13209145,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13417568,Q13417568,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13420305,svagdricka,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13427544,Q13427544,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13439308,Q13439308,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13568405,Q13568405,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13569119,Q13569119,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13569121,Q13569121,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13569882,Q13569882,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13569935,Q13569935,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13570597,Q13570597,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q13915111,Q13915111,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q14536095,Isleña,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q14630533,Q14630533,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q14635771,Q14635771,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q14641747,Q14641747,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q14754069,Q14754069,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q14942225,Q14942225,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q14942629,Q14942629,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q15075508,ölmärke,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q15075508,ölmärke,http://www.wikidata.org/entity/Q431289,handelsnamn,,,,
http://www.wikidata.org/entity/Q15146313,Q15146313,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q15304009,Q15304009,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q15392318,Q15392318,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q15428539,Q15428539,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q15872576,Q15872576,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q15873100,Q15873100,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q15873101,Q15873101,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q16069503,Q16069503,http://www.wikidata.org/entity/Q44,öl,,,,
