food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q158767,dinkel,http://www.wikidata.org/entity/Q15645384,vete
http://www.wikidata.org/entity/Q250432,Bulgur,http://www.wikidata.org/entity/Q2995529,gryn
http://www.wikidata.org/entity/Q250432,Bulgur,http://www.wikidata.org/entity/Q13485782,Ultraprocessad mat
http://www.wikidata.org/entity/Q250432,Bulgur,http://www.wikidata.org/entity/Q15645384,vete
http://www.wikidata.org/entity/Q6977574,Höstvete,http://www.wikidata.org/entity/Q15645384,vete
http://www.wikidata.org/entity/Q17991981,Q17991981,http://www.wikidata.org/entity/Q15645384,vete
http://www.wikidata.org/entity/Q22304295,Q22304295,http://www.wikidata.org/entity/Q15645384,vete
http://www.wikidata.org/entity/Q73351508,Q73351508,http://www.wikidata.org/entity/Q15645384,vete
http://www.wikidata.org/entity/Q96097894,Q96097894,http://www.wikidata.org/entity/Q15645384,vete
