food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q669996,kuku,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q669996,kuku,http://www.wikidata.org/entity/Q746549,dish,,,,
http://www.wikidata.org/entity/Q675466,bosintang,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q675466,bosintang,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q675466,bosintang,http://www.wikidata.org/entity/Q909643,guk,,,,
http://www.wikidata.org/entity/Q683495,gâteau Basque,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q683495,gâteau Basque,http://www.wikidata.org/entity/Q13276,cake,,,,
http://www.wikidata.org/entity/Q685352,tteokguk,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q685352,tteokguk,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q685352,tteokguk,http://www.wikidata.org/entity/Q909643,guk,,,,
http://www.wikidata.org/entity/Q688719,Birnenhonig,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q688719,Birnenhonig,http://www.wikidata.org/entity/Q1472481,spread,,,,
http://www.wikidata.org/entity/Q689984,Papanași,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1133745,Tonjiru,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1133745,Tonjiru,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q1136304,Istrian stew,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1136304,Istrian stew,http://www.wikidata.org/entity/Q2920963,stew,,,,
http://www.wikidata.org/entity/Q1136876,Okinawa soba,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1136876,Okinawa soba,http://www.wikidata.org/entity/Q17116319,Japanese noodles,,,,
http://www.wikidata.org/entity/Q1136907,cream pie,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1136907,cream pie,http://www.wikidata.org/entity/Q26791887,sweet pie,,,,
http://www.wikidata.org/entity/Q1137204,Country Captain,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1137204,Country Captain,http://www.wikidata.org/entity/Q5195229,chicken curry,,,,
http://www.wikidata.org/entity/Q1137204,Country Captain,http://www.wikidata.org/entity/Q27994917,chicken dish,,,,
http://www.wikidata.org/entity/Q1139302,coconut cream,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1139319,Semla,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1139319,Semla,http://www.wikidata.org/entity/Q7655635,sweet roll,,,,
http://www.wikidata.org/entity/Q1139389,Dal,http://www.wikidata.org/entity/Q2095,food,,,,
