food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q16051961,Q16051961,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q16654630,Q16654630,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q16952139,Q16952139,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q26842995,Q26842995,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q26869352,Q26869352,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q27149745,Q27149745,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q27149745,Q27149745,http://www.wikidata.org/entity/Q26844267,Q26844267,,,,
http://www.wikidata.org/entity/Q27162488,Q27162488,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q27162488,Q27162488,http://www.wikidata.org/entity/Q27043034,Q27043034,,,,
http://www.wikidata.org/entity/Q27919053,Q27919053,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q27919064,Q27919064,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q30737789,Q30737789,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q57271749,Q57271749,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
