food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q353061,Q353061,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q353953,Kroatiska viner,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q353953,Kroatiska viner,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q426569,Q426569,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q426569,Q426569,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q426856,Q426856,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q445149,Q445149,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q460398,Q460398,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q478650,Q478650,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q481559,Q481559,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q534177,Q534177,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q630531,franska viner,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q630531,franska viner,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q665982,Q665982,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q674376,Schweiziska viner,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q674376,Schweiziska viner,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q682082,Q682082,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q682082,Q682082,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q695626,Q695626,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q695626,Q695626,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q722338,Starkvin,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q735874,Q735874,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q767701,Q767701,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q767701,Q767701,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q774629,Q774629,http://www.wikidata.org/entity/Q282,vin,,,,
