food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q2223649,Franska ostar,http://www.wikidata.org/entity/Q10943,ost,,,,
http://www.wikidata.org/entity/Q2230805,Q2230805,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2230805,Q2230805,http://www.wikidata.org/entity/Q13266,kaka,,,,
http://www.wikidata.org/entity/Q2235750,Q2235750,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2236849,Q2236849,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2236849,Q2236849,http://www.wikidata.org/entity/Q7802,bröd,,,,
http://www.wikidata.org/entity/Q2247208,Q2247208,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2247208,Q2247208,http://www.wikidata.org/entity/Q477248,bakverk,,,,
http://www.wikidata.org/entity/Q2251745,Q2251745,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2252452,Q2252452,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2252452,Q2252452,http://www.wikidata.org/entity/Q477248,bakverk,,,,
http://www.wikidata.org/entity/Q2254128,Q2254128,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2268252,Q2268252,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2279804,Q2279804,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2279804,Q2279804,http://www.wikidata.org/entity/Q13360264,paj,,,,
http://www.wikidata.org/entity/Q2281241,Q2281241,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2281241,Q2281241,http://www.wikidata.org/entity/Q13266,kaka,,,,
http://www.wikidata.org/entity/Q2287198,modersmjölksersättning,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2287198,modersmjölksersättning,http://www.wikidata.org/entity/Q57650068,Q57650068,,,,
http://www.wikidata.org/entity/Q2292291,Q2292291,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2308332,Q2308332,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2308904,Q2308904,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2312129,Delikatess,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2316824,Q2316824,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2316824,Q2316824,http://www.wikidata.org/entity/Q13266,kaka,,,,
http://www.wikidata.org/entity/Q2330783,Q2330783,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2334489,Kanderade kastanjer,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2334489,Kanderade kastanjer,http://www.wikidata.org/entity/Q5159627,konfektyr,,,,
http://www.wikidata.org/entity/Q2335585,Q2335585,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2336063,Bikarbonatbröd,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2336063,Bikarbonatbröd,http://www.wikidata.org/entity/Q7802,bröd,,,,
http://www.wikidata.org/entity/Q2346339,Q2346339,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2346339,Q2346339,http://www.wikidata.org/entity/Q13360264,paj,,,,
http://www.wikidata.org/entity/Q2349698,Q2349698,http://www.wikidata.org/entity/Q506,blomma,,,,
http://www.wikidata.org/entity/Q2349698,Q2349698,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2353020,Q2353020,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q2356049,Q2356049,http://www.wikidata.org/entity/Q2095,mat,,,,
